Local Time,Measurement,Size (nm),Voltage (V),Sheath Flow,Flowmeter Flow,Corona HV (V)
2025 05 11 20 44 22 +0000, 89 182 10.501439 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 20 44 28 +0000, 84 170 9.808955 1 0,0.0,0.03434,13.51,13.51,4800.0
2025 05 11 20 44 34 +0000, 80 163 9.405001 1 0,0.0,0.03434,13.64,13.64,4800.0
2025 05 11 20 44 40 +0000, 85 172 9.924370 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 44 47 +0000, 90 182 10.501450 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 44 53 +0000, 78 157 9.058772 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 20 44 59 +0000, 87 173 9.982093 1 0,0.0,0.03434,14.07,14.07,4800.0
2025 05 11 20 45 05 +0000, 92 185 10.674582 1 0,0.0,0.03434,13.73,13.73,4800.0
2025 05 11 20 45 11 +0000, 77 158 9.116465 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 20 45 17 +0000, 88 178 10.270617 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 45 23 +0000, 86 176 10.155190 1 0,0.0,0.03434,13.83,13.83,4800.0
2025 05 11 20 45 29 +0000, 100 202 11.655636 1 0,0.0,0.03434,14.28,14.28,4800.0
2025 05 11 20 45 35 +0000, 81 165 9.520415 1 0,0.0,0.03434,13.57,13.57,4800.0
2025 05 11 20 45 41 +0000, 85 173 9.982073 1 0,0.0,0.03434,14.13,14.13,4800.0
2025 05 11 20 45 47 +0000, 85 173 9.982073 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 20 45 54 +0000, 87 175 10.097498 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 46 00 +0000, 91 185 10.674570 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 46 06 +0000, 84 169 9.751252 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 46 12 +0000, 83 169 9.751243 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 46 18 +0000, 100 204 11.771045 1 0,0.0,0.03434,13.72,13.72,4800.0
2025 05 11 20 46 24 +0000, 88 178 10.270617 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 20 46 30 +0000, 85 174 10.039776 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 20 46 36 +0000, 90 183 10.559153 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 20 46 42 +0000, 74 150 8.654826 1 0,0.0,0.03434,14.02,14.02,4800.0
2025 05 11 20 46 48 +0000, 88 179 10.328320 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 46 55 +0000, 87 175 10.097498 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 47 01 +0000, 93 189 10.905405 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 47 07 +0000, 90 182 10.501450 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 47 13 +0000, 87 176 10.155201 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 47 19 +0000, 76 152 8.770246 1 0,0.0,0.03434,13.72,13.72,4800.0
2025 05 11 20 47 25 +0000, 91 184 10.616867 1 0,0.0,0.03434,14.16,14.16,4800.0
2025 05 11 20 47 31 +0000, 97 197 11.367080 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 20 47 37 +0000, 83 169 9.751243 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 47 43 +0000, 84 172 9.924359 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 20 47 49 +0000, 90 183 10.559153 1 0,0.0,0.03434,14.1,14.1,4800.0
2025 05 11 20 47 56 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 48 02 +0000, 76 156 9.001052 1 0,0.0,0.03434,14.12,14.12,4800.0
2025 05 11 20 48 08 +0000, 79 159 9.174184 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 48 14 +0000, 87 177 10.212904 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 48 20 +0000, 80 159 9.174193 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 20 48 26 +0000, 79 161 9.289588 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 48 32 +0000, 86 174 10.039785 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 48 38 +0000, 84 167 9.635848 1 0,0.0,0.03434,13.68,13.68,4800.0
2025 05 11 20 48 44 +0000, 85 172 9.924370 1 0,0.0,0.03434,14.25,14.25,4800.0
2025 05 11 20 48 50 +0000, 91 182 10.501460 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 48 57 +0000, 92 187 10.789988 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 49 03 +0000, 91 182 10.501460 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 20 49 09 +0000, 77 156 9.001061 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 49 15 +0000, 81 165 9.520415 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 49 21 +0000, 78 157 9.058772 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 49 27 +0000, 77 155 8.943359 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 20 49 33 +0000, 80 163 9.405001 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 49 39 +0000, 90 183 10.559153 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 20 49 45 +0000, 77 158 9.116465 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 49 51 +0000, 80 162 9.347300 1 0,0.0,0.03434,13.7,13.7,4800.0
2025 05 11 20 49 58 +0000, 82 167 9.635829 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 20 50 04 +0000, 82 166 9.578126 1 0,0.0,0.03434,13.82,13.82,4800.0
2025 05 11 20 50 10 +0000, 83 169 9.751243 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 50 16 +0000, 78 157 9.058772 1 0,0.0,0.03434,13.93,13.93,4800.0
2025 05 11 20 50 22 +0000, 79 159 9.174184 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 50 28 +0000, 77 158 9.116465 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 20 50 34 +0000, 83 165 9.520434 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 20 50 40 +0000, 88 177 10.212914 1 0,0.0,0.03434,13.75,13.75,4800.0
2025 05 11 20 50 46 +0000, 86 172 9.924379 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 50 52 +0000, 91 185 10.674570 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 20 50 59 +0000, 83 166 9.578135 1 0,0.0,0.03434,13.68,13.68,4800.0
2025 05 11 20 51 05 +0000, 91 185 10.674570 1 0,0.0,0.03434,14.18,14.18,4800.0
2025 05 11 20 51 11 +0000, 84 171 9.866657 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 20 51 17 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.2,14.2,4800.0
2025 05 11 20 51 23 +0000, 87 174 10.039796 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 20 51 29 +0000, 93 189 10.905405 1 0,0.0,0.03434,13.81,13.81,4800.0
2025 05 11 20 51 35 +0000, 77 156 9.001061 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 51 41 +0000, 94 191 11.020823 1 0,0.0,0.03434,14.26,14.26,4800.0
2025 05 11 20 51 47 +0000, 88 179 10.328320 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 51 53 +0000, 92 186 10.732284 1 0,0.0,0.03434,13.96,13.96,4800.0
2025 05 11 20 52 00 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 20 52 06 +0000, 89 180 10.386032 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 52 12 +0000, 89 179 10.328330 1 0,0.0,0.03434,13.84,13.84,4800.0
2025 05 11 20 52 18 +0000, 90 181 10.443747 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 52 24 +0000, 87 175 10.097498 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 20 52 30 +0000, 96 194 11.193957 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 20 52 36 +0000, 71 142 8.193192 1 0,0.0,0.03434,13.92,13.92,4800.0
2025 05 11 20 52 42 +0000, 87 177 10.212904 1 0,0.0,0.03434,14.23,14.23,4800.0
2025 05 11 20 52 48 +0000, 80 163 9.405001 1 0,0.0,0.03434,14.14,14.14,4800.0
2025 05 11 20 52 54 +0000, 84 170 9.808955 1 0,0.0,0.03434,13.86,13.86,4800.0
2025 05 11 20 53 01 +0000, 90 183 10.559153 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 53 07 +0000, 76 154 8.885650 1 0,0.0,0.03434,14.05,14.05,4800.0
2025 05 11 20 53 13 +0000, 84 171 9.866657 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 53 19 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 20 53 25 +0000, 77 155 8.943359 1 0,0.0,0.03434,14.01,14.01,4800.0
2025 05 11 20 53 31 +0000, 79 159 9.174184 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 20 53 37 +0000, 76 154 8.885650 1 0,0.0,0.03434,13.82,13.82,4800.0
2025 05 11 20 53 43 +0000, 90 183 10.559153 1 0,0.0,0.03434,13.73,13.73,4800.0
2025 05 11 20 53 49 +0000, 94 192 11.078526 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 20 53 55 +0000, 85 171 9.866668 1 0,0.0,0.03434,13.8,13.8,4800.0
2025 05 11 20 54 02 +0000, 87 177 10.212904 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 54 08 +0000, 82 168 9.693531 1 0,0.0,0.03434,13.7,13.7,4800.0
2025 05 11 20 54 14 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 54 20 +0000, 92 185 10.674582 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 20 54 26 +0000, 81 164 9.462712 1 0,0.0,0.03434,13.58,13.58,4800.0
2025 05 11 20 54 32 +0000, 88 179 10.328320 1 0,0.0,0.03434,13.89,13.89,4800.0
2025 05 11 20 54 38 +0000, 81 164 9.462712 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 20 54 44 +0000, 83 168 9.693542 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 20 54 50 +0000, 91 184 10.616867 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 20 54 56 +0000, 86 174 10.039785 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 20 55 03 +0000, 74 151 8.712528 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 20 55 09 +0000, 80 165 9.520406 1 0,0.0,0.03434,14.19,14.19,4800.0
2025 05 11 20 55 15 +0000, 80 163 9.405001 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 55 21 +0000, 81 162 9.347309 1 0,0.0,0.03434,13.9,13.9,4800.0
2025 05 11 20 55 27 +0000, 82 167 9.635829 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 20 55 33 +0000, 94 191 11.020823 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 55 39 +0000, 87 176 10.155201 1 0,0.0,0.03434,14.11,14.11,4800.0
2025 05 11 20 55 45 +0000, 91 183 10.559163 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 55 51 +0000, 90 181 10.443747 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 20 55 57 +0000, 80 163 9.405001 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 56 04 +0000, 88 180 10.386022 1 0,0.0,0.03434,14.09,14.09,4800.0
2025 05 11 20 56 10 +0000, 77 156 9.001061 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 56 16 +0000, 89 178 10.270627 1 0,0.0,0.03434,13.79,13.79,4800.0
2025 05 11 20 56 22 +0000, 74 150 8.654826 1 0,0.0,0.03434,14,14,4800.0
2025 05 11 20 56 28 +0000, 90 182 10.501450 1 0,0.0,0.03434,13.97,13.97,4800.0
2025 05 11 20 56 34 +0000, 81 165 9.520415 1 0,0.0,0.03434,14.03,14.03,4800.0
2025 05 11 20 56 40 +0000, 90 183 10.559153 1 0,0.0,0.03434,13.61,13.61,4800.0
2025 05 11 20 56 46 +0000, 97 196 11.309376 1 0,0.0,0.03434,14.24,14.24,4800.0
2025 05 11 20 56 52 +0000, 87 175 10.097498 1 0,0.0,0.03434,13.91,13.91,4800.0
2025 05 11 20 56 58 +0000, 94 189 10.905416 1 0,0.0,0.03434,14.06,14.06,4800.0
2025 05 11 20 57 05 +0000, 67 136 7.846957 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 57 11 +0000, 86 176 10.155190 1 0,0.0,0.03434,13.99,13.99,4800.0
2025 05 11 20 57 17 +0000, 84 171 9.866657 1 0,0.0,0.03434,13.78,13.78,4800.0
2025 05 11 20 57 23 +0000, 73 149 8.597116 1 0,0.0,0.03434,13.87,13.87,4800.0
2025 05 11 20 57 29 +0000, 86 173 9.982082 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 57 35 +0000, 94 192 11.078526 1 0,0.0,0.03434,14.15,14.15,4800.0
2025 05 11 20 57 41 +0000, 85 173 9.982073 1 0,0.0,0.03434,14.04,14.04,4800.0
2025 05 11 20 57 47 +0000, 86 175 10.097487 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 57 53 +0000, 87 175 10.097498 1 0,0.0,0.03434,14.08,14.08,4800.0
2025 05 11 20 57 59 +0000, 83 167 9.635839 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 20 58 06 +0000, 88 180 10.386022 1 0,0.0,0.03434,13.88,13.88,4800.0
2025 05 11 20 58 12 +0000, 88 179 10.328320 1 0,0.0,0.03434,13.95,13.95,4800.0
2025 05 11 20 58 18 +0000, 91 185 10.674570 1 0,0.0,0.03434,13.94,13.94,4800.0
2025 05 11 20 58 24 +0000, 80 164 9.462703 1 0,0.0,0.03434,14.17,14.17,4800.0
2025 05 11 20 58 30 +0000, 70 143 8.250886 1 0,0.0,0.03434,13.7,13.7,4800.0
2025 05 11 20 58 38 +0000, 84 170 9.808955 1 0,0.0,0.03434,14.15,14.15,0.0
2025 05 11 20 58 44 +0000, 86 173 9.982082 1 0,0.0,0.03434,13.91,13.91,0.0
2025 05 11 20 58 50 +0000, 85 169 9.751262 1 0,0.0,0.03434,14.03,14.03,0.0
2025 05 11 20 58 57 +0000, 74 148 8.539424 1 0,0.0,0.03434,13.7,13.7,0.0
2025 05 11 20 59 03 +0000, 84 168 9.693550 1 0,0.0,0.03434,14.05,14.05,0.0
2025 05 11 20 59 09 +0000, 87 174 10.039796 1 0,0.0,0.03434,13.94,13.94,0.0
2025 05 11 20 59 15 +0000, 84 167 9.635848 1 0,0.0,0.03434,14.16,14.16,0.0
2025 05 11 20 59 21 +0000, 85 171 9.866668 1 0,0.0,0.03434,14,14,0.0
2025 05 11 20 59 27 +0000, 77 155 8.943359 1 0,0.0,0.03434,14.16,14.16,0.0
2025 05 11 20 59 33 +0000, 84 171 9.866657 1 0,0.0,0.03434,13.97,13.97,0.0
2025 05 11 20 59 41 +0000, 66 133 7.673849 1 0,30.0,0.18804222222222225,13.94,13.94,4800.0
2025 05 11 20 59 48 +0000, 201 415 23.949806 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 20 59 54 +0000, 217 447 25.797180 1 0,30.0,0.18804222222222225,14.05,14.05,4800.0
2025 05 11 21 00 00 +0000, 217 443 25.566303 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 21 00 06 +0000, 229 469 27.067327 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
2025 05 11 21 00 12 +0000, 218 445 25.681767 1 0,30.0,0.18804222222222225,14.09,14.09,4800.0
2025 05 11 21 00 18 +0000, 211 433 24.988968 1 0,30.0,0.18804222222222225,13.75,13.75,4800.0
2025 05 11 21 00 24 +0000, 213 438 25.277611 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 21 00 30 +0000, 210 429 24.758070 1 0,30.0,0.18804222222222225,13.55,13.55,4800.0
2025 05 11 21 00 36 +0000, 222 457 26.374502 1 0,30.0,0.18804222222222225,14.04,14.04,4800.0
2025 05 11 21 00 42 +0000, 220 449 25.912695 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 21 00 49 +0000, 233 476 27.471481 1 0,30.0,0.18804222222222225,13.83,13.83,4800.0
2025 05 11 21 00 55 +0000, 237 484 27.933359 1 0,30.0,0.18804222222222225,14.1,14.1,4800.0
2025 05 11 21 01 01 +0000, 233 477 27.529202 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 21 01 07 +0000, 226 460 26.547768 1 0,30.0,0.18804222222222225,13.8,13.8,4800.0
2025 05 11 21 01 13 +0000, 222 455 26.259064 1 0,30.0,0.18804222222222225,13.97,13.97,4800.0
2025 05 11 21 01 19 +0000, 213 442 25.508484 1 0,30.0,0.18804222222222225,13.96,13.96,4800.0
2025 05 11 21 01 25 +0000, 215 444 25.623972 1 0,30.0,0.18804222222222225,13.98,13.98,4800.0
2025 05 11 21 01 31 +0000, 226 464 26.778646 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 21 01 37 +0000, 217 444 25.624023 1 0,30.0,0.18804222222222225,14.13,14.13,4800.0
2025 05 11 21 01 43 +0000, 216 442 25.508560 1 0,30.0,0.18804222222222225,13.91,13.91,4800.0
2025 05 11 21 01 50 +0000, 230 472 27.240517 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 21 01 56 +0000, 217 446 25.739460 1 0,30.0,0.18804222222222225,14.18,14.18,4800.0
2025 05 11 21 02 02 +0000, 218 447 25.797205 1 0,30.0,0.18804222222222225,14.11,14.11,4800.0
2025 05 11 21 02 08 +0000, 231 473 27.298265 1 0,30.0,0.18804222222222225,13.79,13.79,4800.0
2025 05 11 21 02 14 +0000, 229 467 26.951887 1 0,30.0,0.18804222222222225,14.04,14.04,4800.0
2025 05 11 21 02 20 +0000, 208 427 24.642586 1 0,30.0,0.18804222222222225,13.74,13.74,4800.0
2025 05 11 21 02 26 +0000, 228 467 26.951860 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 21 02 32 +0000, 236 481 27.760168 1 0,30.0,0.18804222222222225,13.93,13.93,4800.0
2025 05 11 21 02 38 +0000, 206 421 24.296230 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 21 02 44 +0000, 215 440 25.393097 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 21 02 51 +0000, 237 485 27.991081 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 21 02 57 +0000, 213 439 25.335329 1 0,30.0,0.18804222222222225,14.14,14.14,4800.0
2025 05 11 21 03 03 +0000, 222 454 26.201344 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 21 03 09 +0000, 206 422 24.353949 1 0,30.0,0.18804222222222225,14.05,14.05,4800.0
2025 05 11 21 03 15 +0000, 218 448 25.854923 1 0,30.0,0.18804222222222225,13.75,13.75,4800.0
2025 05 11 21 03 21 +0000, 227 467 26.951832 1 0,30.0,0.18804222222222225,14.07,14.07,4800.0
2025 05 11 21 03 27 +0000, 215 443 25.566252 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 21 03 33 +0000, 231 476 27.471426 1 0,30.0,0.18804222222222225,14.1,14.1,4800.0
2025 05 11 21 03 39 +0000, 230 473 27.298237 1 0,30.0,0.18804222222222225,13.88,13.88,4800.0
2025 05 11 21 03 45 +0000, 210 428 24.700352 1 0,30.0,0.18804222222222225,14.08,14.08,4800.0
2025 05 11 21 03 52 +0000, 215 445 25.681690 1 0,30.0,0.18804222222222225,13.67,13.67,4800.0
2025 05 11 21 03 58 +0000, 201 412 23.776655 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 21 04 04 +0000, 215 440 25.393097 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 21 04 10 +0000, 189 392 22.622055 1 0,30.0,0.18804222222222225,13.98,13.98,4800.0
2025 05 11 21 04 16 +0000, 214 443 25.566227 1 0,30.0,0.18804222222222225,13.75,13.75,4800.0
2025 05 11 21 04 22 +0000, 236 482 27.817888 1 0,30.0,0.18804222222222225,14.04,14.04,4800.0
2025 05 11 21 04 28 +0000, 215 442 25.508533 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 21 04 34 +0000, 213 437 25.219891 1 0,30.0,0.18804222222222225,13.73,13.73,4800.0
2025 05 11 21 04 40 +0000, 204 420 24.238466 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 21 04 46 +0000, 228 466 26.894140 1 0,30.0,0.18804222222222225,14.12,14.12,4800.0
2025 05 11 21 04 53 +0000, 216 441 25.450842 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 21 04 59 +0000, 230 469 27.067356 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 21 05 05 +0000, 214 441 25.450790 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 21 05 11 +0000, 193 398 22.968439 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 21 05 17 +0000, 230 475 27.413679 1 0,30.0,0.18804222222222225,14.11,14.11,4800.0
2025 05 11 21 05 23 +0000, 216 444 25.623999 1 0,30.0,0.18804222222222225,13.89,13.89,4800.0
2025 05 11 21 05 29 +0000, 221 453 26.143599 1 0,30.0,0.18804222222222225,13.82,13.82,4800.0
2025 05 11 21 05 35 +0000, 222 456 26.316784 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 21 05 41 +0000, 199 406 23.430309 1 0,30.0,0.18804222222222225,14.09,14.09,4800.0
2025 05 11 21 05 47 +0000, 209 430 24.815763 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 21 05 54 +0000, 208 430 24.815739 1 0,30.0,0.18804222222222225,13.92,13.92,4800.0
2025 05 11 21 06 00 +0000, 222 455 26.259064 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 21 06 06 +0000, 201 414 23.892090 1 0,30.0,0.18804222222222225,13.9,13.9,4800.0
2025 05 11 21 06 12 +0000, 223 458 26.432247 1 0,30.0,0.18804222222222225,13.62,13.62,4800.0
2025 05 11 21 06 18 +0000, 206 424 24.469383 1 0,30.0,0.18804222222222225,14.15,14.15,4800.0
2025 05 11 21 06 24 +0000, 208 426 24.584869 1 0,30.0,0.18804222222222225,13.95,13.95,4800.0
2025 05 11 21 06 30 +0000, 214 439 25.335352 1 0,30.0,0.18804222222222225,14.23,14.23,4800.0
2025 05 11 21 06 36 +0000, 218 450 25.970362 1 0,30.0,0.18804222222222225,13.95,13.95,4800.0
2025 05 11 21 06 42 +0000, 209 431 24.873480 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 21 06 48 +0000, 214 438 25.277634 1 0,30.0,0.18804222222222225,14.11,14.11,4800.0
2025 05 11 21 06 55 +0000, 204 420 24.238466 1 0,30.0,0.18804222222222225,13.74,13.74,4800.0
2025 05 11 21 07 01 +0000, 217 443 25.566303 1 0,30.0,0.18804222222222225,14.08,14.08,4800.0
2025 05 11 21 07 07 +0000, 234 480 27.702391 1 0,30.0,0.18804222222222225,14.14,14.14,4800.0
2025 05 11 21 07 13 +0000, 207 421 24.296255 1 0,30.0,0.18804222222222225,13.71,13.71,4800.0
2025 05 11 21 07 19 +0000, 209 429 24.758045 1 0,30.0,0.18804222222222225,13.96,13.96,4800.0
2025 05 11 21 07 25 +0000, 215 440 25.393097 1 0,30.0,0.18804222222222225,14.19,14.19,4800.0
2025 05 11 21 07 31 +0000, 225 463 26.720900 1 0,30.0,0.18804222222222225,14.21,14.21,4800.0
2025 05 11 21 07 37 +0000, 232 476 27.471453 1 0,30.0,0.18804222222222225,14.01,14.01,4800.0
2025 05 11 21 07 43 +0000, 212 434 25.046711 1 0,30.0,0.18804222222222225,14.05,14.05,4800.0
2025 05 11 21 07 49 +0000, 207 424 24.469408 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 21 07 56 +0000, 223 459 26.489967 1 0,30.0,0.18804222222222225,13.65,13.65,4800.0
2025 05 11 21 08 02 +0000, 215 438 25.277660 1 0,30.0,0.18804222222222225,13.87,13.87,4800.0
2025 05 11 21 08 08 +0000, 206 426 24.584818 1 0,30.0,0.18804222222222225,14.18,14.18,4800.0
2025 05 11 21 08 14 +0000, 223 456 26.316809 1 0,30.0,0.18804222222222225,13.85,13.85,4800.0
2025 05 11 21 08 20 +0000, 215 441 25.450815 1 0,30.0,0.18804222222222225,14.3,14.3,4800.0
2025 05 11 21 08 26 +0000, 207 425 24.527126 1 0,30.0,0.18804222222222225,14.14,14.14,4800.0
2025 05 11 21 08 32 +0000, 220 456 26.316730 1 0,30.0,0.18804222222222225,14.06,14.06,4800.0
2025 05 11 21 08 38 +0000, 221 456 26.316757 1 0,30.0,0.18804222222222225,13.77,13.77,4800.0
2025 05 11 21 08 44 +0000, 219 451 26.028107 1 0,30.0,0.18804222222222225,13.85,13.85,4800.0
2025 05 11 21 08 50 +0000, 212 435 25.104429 1 0,30.0,0.18804222222222225,14.17,14.17,4800.0
2025 05 11 21 08 57 +0000, 215 439 25.335379 1 0,30.0,0.18804222222222225,14.03,14.03,4800.0
2025 05 11 21 09 03 +0000, 214 438 25.277634 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 21 09 09 +0000, 203 416 24.007574 1 0,30.0,0.18804222222222225,13.99,13.99,4800.0
2025 05 11 21 09 15 +0000, 209 429 24.758045 1 0,30.0,0.18804222222222225,13.98,13.98,4800.0
2025 05 11 21 09 21 +0000, 223 456 26.316809 1 0,30.0,0.18804222222222225,0,0,4800.0
2025 05 11 21 09 27 +0000, 212 434 25.046711 1 0,30.0,0.18804222222222225,14,14,4800.0
2025 05 11 21 09 33 +0000, 223 459 26.489967 1 0,30.0,0.18804222222222225,13.86,13.86,4800.0
2025 05 11 21 09 39 +0000, 217 447 25.797180 1 0,30.0,0.18804222222222225,13.98,13.98,4800.0
2025 05 11 21 09 48 +0000, 225 462 26.663181 1 0,50.0,0.3293444444444445,14.13,14.13,4800.0
2025 05 11 21 09 54 +0000, 150 306 17.657946 1 0,50.0,0.3293444444444445,14.02,14.02,4800.0
2025 05 11 21 10 00 +0000, 165 338 19.504992 1 0,50.0,0.3293444444444445,13.93,13.93,4800.0
2025 05 11 21 10 06 +0000, 140 288 16.618994 1 0,50.0,0.3293444444444445,14.07,14.07,4800.0
2025 05 11 21 10 12 +0000, 167 339 19.562744 1 0,50.0,0.3293444444444445,14.03,14.03,4800.0
2025 05 11 21 10 18 +0000, 162 329 18.985523 1 0,50.0,0.3293444444444445,13.74,13.74,4800.0
